"ITTER107","Territorio","TIPO_DATO7","Indicatore","CORREZ","Correzione","ATECO_2007","Ateco 2007","TIME","Seleziona periodo","Value","Flag Codes","Flags"
"IT","Italia","IND_PROD2","indice della produzione industriale - base 2015=100","W","dati corretti per gli effetti di calendario","C","attività manifatturiere","2012-12","Dic-2012",84.9,,
"IT","Italia","IND_PROD2","indice della produzione industriale - base 2015=100","W","dati corretti per gli effetti di calendario","C","attività manifatturiere","2013-01","Gen-2013",91.2,,
"IT","Italia","IND_PROD2","indice della produzione industriale - base 2015=100","W","dati corretti per gli effetti di calendario","C","attività manifatturiere","2013-02","Feb-2013",98.7,,
"IT","Italia","IND_PROD2","indice della produzione industriale - base 2015=100","W","dati corretti per gli effetti di calendario","C","attività manifatturiere","2013-03","Mar-2013",106.9,,
"IT","Italia","IND_PROD2","indice della produzione industriale - base 2015=100","W","dati corretti per gli effetti di calendario","C","attività manifatturiere","2013-04","Apr-2013",96.3,,
"IT","Italia","IND_PROD2","indice della produzione industriale - base 2015=100","W","dati corretti per gli effetti di calendario","C","attività manifatturiere","2013-05","Mag-2013",109.3,,
"IT","Italia","IND_PROD2","indice della produzione industriale - base 2015=100","W","dati corretti per gli effetti di calendario","C","attività manifatturiere","2013-06","Giu-2013",105.7,,
"IT","Italia","IND_PROD2","indice della produzione industriale - base 2015=100","W","dati corretti per gli effetti di calendario","C","attività manifatturiere","2013-07","Lug-2013",113.2,,
"IT","Italia","IND_PROD2","indice della produzione industriale - base 2015=100","W","dati corretti per gli effetti di calendario","C","attività manifatturiere","2013-08","Ago-2013",58.8,,
"IT","Italia","IND_PROD2","indice della produzione industriale - base 2015=100","W","dati corretti per gli effetti di calendario","C","attività manifatturiere","2013-09","Set-2013",107.6,,
"IT","Italia","IND_PROD2","indice della produzione industriale - base 2015=100","W","dati corretti per gli effetti di calendario","C","attività manifatturiere","2013-10","Ott-2013",110.7,,
"IT","Italia","IND_PROD2","indice della produzione industriale - base 2015=100","W","dati corretti per gli effetti di calendario","C","attività manifatturiere","2013-11","Nov-2013",105.1,,
"IT","Italia","IND_PROD2","indice della produzione industriale - base 2015=100","W","dati corretti per gli effetti di calendario","C","attività manifatturiere","2013-12","Dic-2013",84.2,,
"IT","Italia","IND_PROD2","indice della produzione industriale - base 2015=100","W","dati corretti per gli effetti di calendario","C","attività manifatturiere","2014-01","Gen-2014",92.9,,
"IT","Italia","IND_PROD2","indice della produzione industriale - base 2015=100","W","dati corretti per gli effetti di calendario","C","attività manifatturiere","2014-02","Feb-2014",100.5,,
"IT","Italia","IND_PROD2","indice della produzione industriale - base 2015=100","W","dati corretti per gli effetti di calendario","C","attività manifatturiere","2014-03","Mar-2014",108.3,,
"IT","Italia","IND_PROD2","indice della produzione industriale - base 2015=100","W","dati corretti per gli effetti di calendario","C","attività manifatturiere","2014-04","Apr-2014",98.4,,
"IT","Italia","IND_PROD2","indice della produzione industriale - base 2015=100","W","dati corretti per gli effetti di calendario","C","attività manifatturiere","2014-05","Mag-2014",107.2,,
"IT","Italia","IND_PROD2","indice della produzione industriale - base 2015=100","W","dati corretti per gli effetti di calendario","C","attività manifatturiere","2014-06","Giu-2014",106,,
"IT","Italia","IND_PROD2","indice della produzione industriale - base 2015=100","W","dati corretti per gli effetti di calendario","C","attività manifatturiere","2014-07","Lug-2014",112.3,,
"IT","Italia","IND_PROD2","indice della produzione industriale - base 2015=100","W","dati corretti per gli effetti di calendario","C","attività manifatturiere","2014-08","Ago-2014",58.6,,
"IT","Italia","IND_PROD2","indice della produzione industriale - base 2015=100","W","dati corretti per gli effetti di calendario","C","attività manifatturiere","2014-09","Set-2014",105.3,,
"IT","Italia","IND_PROD2","indice della produzione industriale - base 2015=100","W","dati corretti per gli effetti di calendario","C","attività manifatturiere","2014-10","Ott-2014",107.7,,
"IT","Italia","IND_PROD2","indice della produzione industriale - base 2015=100","W","dati corretti per gli effetti di calendario","C","attività manifatturiere","2014-11","Nov-2014",103.7,,
"IT","Italia","IND_PROD2","indice della produzione industriale - base 2015=100","W","dati corretti per gli effetti di calendario","C","attività manifatturiere","2014-12","Dic-2014",85.4,,
"IT","Italia","IND_PROD2","indice della produzione industriale - base 2015=100","W","dati corretti per gli effetti di calendario","C","attività manifatturiere","2015-01","Gen-2015",91.2,,
"IT","Italia","IND_PROD2","indice della produzione industriale - base 2015=100","W","dati corretti per gli effetti di calendario","C","attività manifatturiere","2015-02","Feb-2015",99.8,,
"IT","Italia","IND_PROD2","indice della produzione industriale - base 2015=100","W","dati corretti per gli effetti di calendario","C","attività manifatturiere","2015-03","Mar-2015",109.3,,
"IT","Italia","IND_PROD2","indice della produzione industriale - base 2015=100","W","dati corretti per gli effetti di calendario","C","attività manifatturiere","2015-04","Apr-2015",99,,
"IT","Italia","IND_PROD2","indice della produzione industriale - base 2015=100","W","dati corretti per gli effetti di calendario","C","attività manifatturiere","2015-05","Mag-2015",110.3,,
"IT","Italia","IND_PROD2","indice della produzione industriale - base 2015=100","W","dati corretti per gli effetti di calendario","C","attività manifatturiere","2015-06","Giu-2015",106.2,,
"IT","Italia","IND_PROD2","indice della produzione industriale - base 2015=100","W","dati corretti per gli effetti di calendario","C","attività manifatturiere","2015-07","Lug-2015",113.8,,
"IT","Italia","IND_PROD2","indice della produzione industriale - base 2015=100","W","dati corretti per gli effetti di calendario","C","attività manifatturiere","2015-08","Ago-2015",60,,
"IT","Italia","IND_PROD2","indice della produzione industriale - base 2015=100","W","dati corretti per gli effetti di calendario","C","attività manifatturiere","2015-09","Set-2015",107.2,,
"IT","Italia","IND_PROD2","indice della produzione industriale - base 2015=100","W","dati corretti per gli effetti di calendario","C","attività manifatturiere","2015-10","Ott-2015",110.5,,
"IT","Italia","IND_PROD2","indice della produzione industriale - base 2015=100","W","dati corretti per gli effetti di calendario","C","attività manifatturiere","2015-11","Nov-2015",107,,
"IT","Italia","IND_PROD2","indice della produzione industriale - base 2015=100","W","dati corretti per gli effetti di calendario","C","attività manifatturiere","2015-12","Dic-2015",85.7,,
"IT","Italia","IND_PROD2","indice della produzione industriale - base 2015=100","W","dati corretti per gli effetti di calendario","C","attività manifatturiere","2016-01","Gen-2016",94.8,,
"IT","Italia","IND_PROD2","indice della produzione industriale - base 2015=100","W","dati corretti per gli effetti di calendario","C","attività manifatturiere","2016-02","Feb-2016",102.2,,
"IT","Italia","IND_PROD2","indice della produzione industriale - base 2015=100","W","dati corretti per gli effetti di calendario","C","attività manifatturiere","2016-03","Mar-2016",111.1,,
"IT","Italia","IND_PROD2","indice della produzione industriale - base 2015=100","W","dati corretti per gli effetti di calendario","C","attività manifatturiere","2016-04","Apr-2016",102.1,,
"IT","Italia","IND_PROD2","indice della produzione industriale - base 2015=100","W","dati corretti per gli effetti di calendario","C","attività manifatturiere","2016-05","Mag-2016",110.3,,
"IT","Italia","IND_PROD2","indice della produzione industriale - base 2015=100","W","dati corretti per gli effetti di calendario","C","attività manifatturiere","2016-06","Giu-2016",105.6,,
"IT","Italia","IND_PROD2","indice della produzione industriale - base 2015=100","W","dati corretti per gli effetti di calendario","C","attività manifatturiere","2016-07","Lug-2016",115.2,,
"IT","Italia","IND_PROD2","indice della produzione industriale - base 2015=100","W","dati corretti per gli effetti di calendario","C","attività manifatturiere","2016-08","Ago-2016",63.8,,
"IT","Italia","IND_PROD2","indice della produzione industriale - base 2015=100","W","dati corretti per gli effetti di calendario","C","attività manifatturiere","2016-09","Set-2016",109,,
"IT","Italia","IND_PROD2","indice della produzione industriale - base 2015=100","W","dati corretti per gli effetti di calendario","C","attività manifatturiere","2016-10","Ott-2016",112.3,,
"IT","Italia","IND_PROD2","indice della produzione industriale - base 2015=100","W","dati corretti per gli effetti di calendario","C","attività manifatturiere","2016-11","Nov-2016",108.9,,
"IT","Italia","IND_PROD2","indice della produzione industriale - base 2015=100","W","dati corretti per gli effetti di calendario","C","attività manifatturiere","2016-12","Dic-2016",90.8,,
"IT","Italia","IND_PROD2","indice della produzione industriale - base 2015=100","W","dati corretti per gli effetti di calendario","C","attività manifatturiere","2017-01","Gen-2017",93.3,,
"IT","Italia","IND_PROD2","indice della produzione industriale - base 2015=100","W","dati corretti per gli effetti di calendario","C","attività manifatturiere","2017-02","Feb-2017",103.8,,
"IT","Italia","IND_PROD2","indice della produzione industriale - base 2015=100","W","dati corretti per gli effetti di calendario","C","attività manifatturiere","2017-03","Mar-2017",115.8,,
"IT","Italia","IND_PROD2","indice della produzione industriale - base 2015=100","W","dati corretti per gli effetti di calendario","C","attività manifatturiere","2017-04","Apr-2017",102.9,,
